Course_ID,Duration_Days,First_Day,Last_Day,Event_ID,Room_Number
0132D,2,2-23-2026,2-24-2026,EV001,
0182D,2,2-25-2026,2-26-2026,EV001,
0621D,1,2-25-2026,2-25-2026,EV001,
0672D,2,2-25-2026,2-26-2026,EV001,
0682D,2,2-25-2026,2-26-2026,EV001,
0823D,3,2-23-2026,2-25-2026,EV001,
1074H,0.5,2-26-2026,2-26-2026,EV001,
1132D,2,2-23-2026,2-24-2026,EV001,
1421D,1,2-23-2026,2-23-2026,EV001,
1702D,2,2-23-2026,2-24-2026,EV001,
1802D,2,2-23-2026,2-24-2026,EV001,
1892D,2,2-25-2026,2-26-2026,EV001,
1972D,2,2-23-2026,2-24-2026,EV001,
2033D,3,2-23-2026,2-25-2026,EV001,
2092D,2,2-25-2026,2-26-2026,EV001,
0032D,2,3-16-2026,3-17-2026,EV002,7
0082D,2,3-18-2026,3-19-2026,EV002,7
0192D,2,3-18-2026,3-19-2026,EV002,5
0342D,2,3-16-2026,3-17-2026,EV002,8
0402D,2,3-16-2026,3-17-2026,EV002,2
0422D,2,3-18-2026,3-19-2026,EV002,2
0541D,1,3-16-2026,3-16-2026,EV002,1
0562D,2,3-16-2026,3-17-2026,EV002,5
0643D,3,3-17-2026,3-19-2026,EV002,1
0694D,4,3-16-2026,3-19-2026,EV002,10
0724D,4,3-16-2026,3-19-2026,EV002,9
1091D,1,3-17-2026,3-17-2026,EV002,6
1101D,1,3-16-2026,3-16-2026,EV002,6
1464D,4,3-16-2026,3-19-2026,EV002,4
1482D,2,3-16-2026,3-17-2026,EV002,3
1552D,2,3-18-2026,3-19-2026,EV002,3
1802D,2,3-18-2026,3-19-2026,EV002,6
2022D,2,3-18-2026,3-19-2026,EV002,8
0432D,2,4-21-2026,4-22-2026,EV003,
0582D,2,4-22-2026,4-23-2026,EV003,
0612D,2,4-20-2026,4-21-2026,EV003,
0621D,1,4-20-2026,4-20-2026,EV003,
0872D,2,4-20-2026,4-21-2026,EV003,
0951D,1,4-23-2026,4-23-2026,EV003,
1101D,1,4-21-2026,4-21-2026,EV003,
1132D,2,4-22-2026,4-23-2026,EV003,
1344H,0.5,4-20-2026,4-20-2026,EV003,
1602D,2,4-22-2026,4-23-2026,EV003,
1641D,1,4-20-2026,4-20-2026,EV003,
1651D,1,4-21-2026,4-21-2026,EV003,
1724D,4,4-20-2026,4-23-2026,EV003,
1731D,1,4-20-2026,4-20-2026,EV003,
1741D,1,4-21-2026,4-21-2026,EV003,
1802D,2,4-20-2026,4-21-2026,EV003,
1864H,0.5,4-21-2026,4-21-2026,EV003,
1902D,2,4-20-2026,4-21-2026,EV003,
1932D,2,4-22-2026,4-23-2026,EV003,
1972D,2,4-20-2026,4-21-2026,EV003,
2063D,3,4-20-2026,4-22-2026,EV003,
2092D,2,4-22-2026,4-23-2026,EV003,
0032D,2,5-11-2026,5-12-2026,EV004,1
0082D,2,5-13-2026,5-14-2026,EV004,1
0342D,2,5-13-2026,5-14-2026,EV004,3
0402D,2,5-11-2026,5-12-2026,EV004,4
0541D,1,5-14-2026,5-14-2026,EV004,2
0643D,3,5-11-2026,5-13-2026,EV004,2
0742D,2,5-11-2026,5-12-2026,EV004,8
0784H,0.5,5-13-2026,5-13-2026,EV004,5
1022D,2,5-11-2026,5-12-2026,EV004,3
1042D,2,5-11-2026,5-12-2026,EV004,5
1402D,2,5-11-2026,5-12-2026,EV004,9
1813D,3,5-11-2026,5-13-2026,EV004,7
1821D,1,5-14-2026,5-14-2026,EV004,6
1972D,2,5-13-2026,5-14-2026,EV004,9
2053D,3,5-11-2026,5-13-2026,EV004,6
2092D,2,5-13-2026,5-14-2026,EV004,8
0024D,4,6-15-2026,6-18-2026,EV005,7
0032D,2,6-15-2026,6-16-2026,EV005,3
0082D,2,6-17-2026,6-18-2026,EV005,3
0402D,2,6-17-2026,6-18-2026,EV005,6
0482D,2,6-15-2026,6-16-2026,EV005,6
0541D,1,6-15-2026,6-15-2026,EV005,4
0552D,2,6-15-2026,6-16-2026,EV005,12
0643D,3,6-16-2026,6-18-2026,EV005,4
0694D,4,6-15-2026,6-18-2026,EV005,2
0872D,2,6-17-2026,6-18-2026,EV005,5
0951D,1,6-16-2026,6-16-2026,EV005,5
1042D,2,6-17-2026,6-18-2026,EV005,11
1464D,4,6-15-2026,6-18-2026,EV005,1
